GalaxyID,x,y,e1,e2
Galaxy1,2450.51,1195.78,0.180722,0.165612
Galaxy2,2161.48,2140.85,0.114148,-0.099943
Galaxy3,675.14,1177.84,0.291283,-0.311171
Galaxy4,3065.34,2108.65,0.503588,0.161228
Galaxy5,2595.95,3257.15,-0.069180,0.457127
Galaxy6,2773.53,287.57,-0.141472,-0.373297
Galaxy7,3390.39,347.88,-0.440455,-0.146619
Galaxy8,861.61,3560.45,0.177086,0.317908
Galaxy9,2505.18,3017.50,-0.448946,-0.132376
Galaxy10,2915.97,3313.34,-0.220633,0.009832
Galaxy11,562.61,631.73,0.417729,0.252690
Galaxy12,1700.92,2548.57,0.152059,0.034514
Galaxy13,2311.08,4159.68,-0.232672,0.003991
Galaxy14,2481.13,1584.96,-0.152007,0.012627
Galaxy15,176.88,3652.54,0.188149,0.021933
Galaxy16,1804.52,2078.40,-0.009489,0.361530
Galaxy17,3079.79,1515.00,0.350467,0.040704
Galaxy18,2317.00,2019.04,0.094587,0.110971
Galaxy19,1414.86,2138.80,-0.000336,-0.022023
Galaxy20,3307.61,1505.36,0.203619,0.160896
Galaxy21,1438.43,3315.19,-0.037607,0.225007
Galaxy22,2968.94,3883.73,0.013350,0.208946
Galaxy23,36.34,1786.23,0.172306,-0.195121
Galaxy24,1850.04,3438.04,0.152576,-0.112963
Galaxy25,3024.78,1763.58,-0.062953,-0.434031
Galaxy26,3922.79,1504.18,-0.143482,-0.202590
Galaxy27,522.21,1558.45,0.276786,-0.005681
Galaxy28,4185.24,3488.76,-0.072601,0.162635
Galaxy29,1875.80,1229.78,0.104028,-0.095977
Galaxy30,3787.84,917.25,-0.175453,-0.360754
Galaxy31,1614.94,2648.04,-0.307231,-0.023752
Galaxy32,1199.51,932.05,-0.093547,-0.600475
Galaxy33,1862.63,1725.46,0.018074,0.201981
Galaxy34,3713.73,3782.26,0.198695,0.057001
Galaxy35,262.84,736.04,0.278782,-0.309178
Galaxy36,183.43,3737.54,-0.114284,0.045032
Galaxy37,328.05,113.14,-0.078021,-0.220261
Galaxy38,2332.02,1009.80,-0.561440,0.019015
Galaxy39,275.64,1325.71,0.268897,-0.232309
Galaxy40,155.89,3673.33,-0.092841,0.152110
Galaxy41,1426.03,1269.32,-0.281099,0.109732
Galaxy42,1294.26,444.40,-0.017340,-0.163423
Galaxy43,76.39,744.97,-0.049760,0.080756
Galaxy44,440.56,821.91,0.185622,0.531837
Galaxy45,3440.24,959.79,-0.048868,-0.112363
Galaxy46,3790.14,525.18,-0.070102,0.128914
Galaxy47,3585.25,3910.13,-0.461635,-0.285091
Galaxy48,65.57,2089.49,0.288449,0.050428
Galaxy49,3737.11,2614.54,0.117207,-0.074426
