GalaxyID,x,y,e1,e2
Galaxy1,2251.81,2534.35,0.116727,0.184033
Galaxy2,3965.70,2356.40,0.266129,0.104518
Galaxy3,2079.64,1356.66,-0.017644,-0.111331
Galaxy4,177.55,3355.07,-0.064173,0.008742
Galaxy5,835.47,2322.27,-0.235109,-0.232680
Galaxy6,3200.06,3405.28,0.422798,-0.160923
Galaxy7,1403.62,3893.75,-0.186137,-0.200384
Galaxy8,131.06,1452.53,0.285518,-0.163253
Galaxy9,3139.97,616.34,-0.536716,-0.034830
Galaxy10,482.60,1730.79,-0.205826,0.269681
Galaxy11,2850.62,27.01,0.114018,0.113220
Galaxy12,2072.81,2197.08,-0.113044,-0.412651
Galaxy13,3643.32,957.54,-0.039391,-0.298815
Galaxy14,3521.89,2152.33,0.246696,-0.352892
Galaxy15,2738.70,696.91,0.140637,-0.176136
Galaxy16,3549.44,4161.49,-0.177830,0.018762
Galaxy17,4108.11,2362.65,0.462801,0.018554
Galaxy18,589.00,2758.21,0.236369,0.210300
Galaxy19,1763.93,3760.13,-0.185684,0.174959
Galaxy20,2399.96,2364.41,-0.126690,-0.134753
Galaxy21,3969.23,2611.75,0.263589,0.088859
Galaxy22,2471.97,954.47,0.336033,0.123074
Galaxy23,2061.70,602.17,-0.196905,-0.345549
Galaxy24,4138.30,1788.00,0.307653,0.470797
Galaxy25,87.95,1663.23,-0.072136,-0.128455
Galaxy26,1553.02,363.14,0.394442,-0.044972
Galaxy27,2240.27,2111.08,0.226843,0.057485
Galaxy28,2612.75,458.97,-0.433074,-0.036822
Galaxy29,1380.61,2119.47,0.049921,0.193559
Galaxy30,523.98,3627.54,-0.003930,0.009151
Galaxy31,818.85,3956.05,0.064584,-0.178381
Galaxy32,1787.60,1484.48,-0.483192,-0.275878
Galaxy33,2573.04,2101.41,0.098516,0.123611
Galaxy34,3466.61,1108.50,0.136759,0.284306
Galaxy35,1662.24,3046.55,-0.428630,0.262523
Galaxy36,2008.34,237.50,0.197823,-0.310434
Galaxy37,2663.47,2504.27,0.219382,0.094694
Galaxy38,2302.14,1299.83,0.010674,0.074008
Galaxy39,1307.76,1318.80,0.250408,-0.215907
Galaxy40,3492.58,3549.90,0.398512,0.177762
Galaxy41,766.01,4069.45,0.111722,0.192408
Galaxy42,2248.68,1010.36,-0.038330,-0.283632
Galaxy43,1761.33,2029.19,-0.219586,-0.050143
Galaxy44,601.39,1790.56,0.129034,0.335689
Galaxy45,3418.14,3811.60,-0.255163,0.125057
Galaxy46,1912.31,774.84,-0.163822,-0.141306
Galaxy47,3981.25,4151.56,0.103971,-0.173410
Galaxy48,3220.60,483.72,-0.423218,-0.408061
Galaxy49,3582.29,3639.22,0.042392,-0.081720
Galaxy50,1175.43,2586.81,0.095648,-0.176743
Galaxy51,3751.37,2382.02,0.198777,-0.003934
Galaxy52,2421.27,3338.02,0.110557,0.246220
Galaxy53,3923.25,2940.18,0.002460,-0.206041
Galaxy54,3880.69,150.89,0.141765,-0.286209
Galaxy55,2290.07,1819.25,-0.199092,0.019648
Galaxy56,413.36,1155.42,0.056905,0.085155
Galaxy57,607.70,3036.68,0.305151,0.040855
Galaxy58,1959.60,4140.54,0.413200,0.048182
Galaxy59,1874.14,769.63,-0.128429,-0.303216
Galaxy60,4153.47,1673.64,-0.171228,0.327352
Galaxy61,3791.23,2044.10,0.170661,0.107775
Galaxy62,1326.22,141.53,-0.074345,-0.309568
Galaxy63,592.40,2594.26,-0.214406,-0.005420
Galaxy64,2256.57,202.37,0.192711,-0.086177
Galaxy65,1820.55,2572.12,-0.000743,0.024933
Galaxy66,984.07,1960.20,-0.421834,-0.054156
Galaxy67,2504.26,4138.95,0.089225,0.048349
Galaxy68,639.35,635.53,0.025020,-0.678563
Galaxy69,1068.44,1295.88,0.012803,0.004718
Galaxy70,1809.95,175.58,-0.074576,-0.134610
Galaxy71,3564.31,1541.66,-0.060622,0.176497
Galaxy72,3100.47,2247.40,0.034127,0.314710
Galaxy73,1012.64,2921.75,-0.114160,0.031225
Galaxy74,1640.76,1510.54,0.188678,0.202302
Galaxy75,1158.92,1769.27,0.491375,0.058158
Galaxy76,416.38,3447.19,0.185103,-0.201448
Galaxy77,3242.16,1239.30,-0.116193,0.547497
Galaxy78,797.18,606.06,-0.255101,0.383996
Galaxy79,1728.15,39.87,0.092579,0.117376
Galaxy80,3067.30,758.00,0.098577,0.169913
Galaxy81,2229.17,600.85,-0.368238,-0.214276
Galaxy82,101.20,3459.19,0.007583,0.102283
Galaxy83,3912.03,3009.29,-0.400258,0.158090
Galaxy84,1890.53,933.42,-0.022686,-0.033150
Galaxy85,3204.27,704.27,-0.083066,-0.146449
Galaxy86,283.30,1508.68,-0.032786,0.188771
Galaxy87,3877.32,2280.40,-0.015398,-0.018232
Galaxy88,1731.41,449.64,-0.385645,0.035061
Galaxy89,4008.48,3388.72,-0.083078,-0.114189
Galaxy90,1778.52,336.65,0.175896,0.341824
Galaxy91,3727.45,2184.07,0.477970,-0.047379
