SkyId,numberHalos,x_ref,y_ref,halo_x1,halo_y1,halo_x2,halo_y2,halo_x3,halo_y3
Sky1,1,1086.80,1114.61,1086.80,1114.61,0.00,0.00,0.00,0.00
Sky2,1,3477.71,1907.33,3477.71,1907.33,0.00,0.00,0.00,0.00
Sky3,1,2315.78,1081.95,2315.78,1081.95,0.00,0.00,0.00,0.00
Sky4,1,1408.61,1685.86,1408.61,1685.86,0.00,0.00,0.00,0.00
Sky5,1,3091.65,2001.08,3091.65,2001.08,0.00,0.00,0.00,0.00
Sky6,1,4129.17,3097.58,4129.17,3097.58,0.00,0.00,0.00,0.00
Sky7,1,3124.25,1787.56,3124.25,1787.56,0.00,0.00,0.00,0.00
Sky8,1,942.51,2909.72,942.51,2909.72,0.00,0.00,0.00,0.00
Sky9,1,2556.11,2645.23,2556.11,2645.23,0.00,0.00,0.00,0.00
Sky10,1,3960.10,622.67,3960.10,622.67,0.00,0.00,0.00,0.00
Sky11,1,3069.86,2090.57,3069.86,2090.57,0.00,0.00,0.00,0.00
Sky12,1,599.75,3236.08,599.75,3236.08,0.00,0.00,0.00,0.00
Sky13,1,3551.90,1429.02,3551.90,1429.02,0.00,0.00,0.00,0.00
Sky14,1,1738.48,4000.01,1738.48,4000.01,0.00,0.00,0.00,0.00
Sky15,1,1613.07,0.62,1613.07,0.62,0.00,0.00,0.00,0.00
Sky16,1,2476.41,1550.01,2476.41,1550.01,0.00,0.00,0.00,0.00
Sky17,1,2915.74,3655.42,2915.74,3655.42,0.00,0.00,0.00,0.00
Sky18,1,1065.23,3784.81,1065.23,3784.81,0.00,0.00,0.00,0.00
Sky19,1,3823.16,2237.95,3823.16,2237.95,0.00,0.00,0.00,0.00
Sky20,1,31.42,4197.65,31.42,4197.65,0.00,0.00,0.00,0.00
Sky21,1,2672.81,2115.98,2672.81,2115.98,0.00,0.00,0.00,0.00
Sky22,1,2920.45,1352.51,2920.45,1352.51,0.00,0.00,0.00,0.00
Sky23,1,3499.76,32.99,3499.76,32.99,0.00,0.00,0.00,0.00
Sky24,1,763.57,2103.49,763.57,2103.49,0.00,0.00,0.00,0.00
Sky25,1,2856.37,2567.43,2856.37,2567.43,0.00,0.00,0.00,0.00
Sky26,1,1754.64,2964.13,1754.64,2964.13,0.00,0.00,0.00,0.00
Sky27,1,723.33,2933.69,723.33,2933.69,0.00,0.00,0.00,0.00
Sky28,1,1869.33,3540.80,1869.33,3540.80,0.00,0.00,0.00,0.00
Sky29,1,257.63,860.01,257.63,860.01,0.00,0.00,0.00,0.00
Sky30,1,3276.28,2791.57,3276.28,2791.57,0.00,0.00,0.00,0.00
Sky31,1,27.72,4047.21,27.72,4047.21,0.00,0.00,0.00,0.00
Sky32,1,2124.46,2690.81,2124.46,2690.81,0.00,0.00,0.00,0.00
Sky33,1,2328.73,180.12,2328.73,180.12,0.00,0.00,0.00,0.00
Sky34,1,1974.29,1250.80,1974.29,1250.80,0.00,0.00,0.00,0.00
Sky35,1,2082.12,2303.05,2082.12,2303.05,0.00,0.00,0.00,0.00
Sky36,1,1600.13,3561.65,1600.13,3561.65,0.00,0.00,0.00,0.00
Sky37,1,1600.18,1596.77,1600.18,1596.77,0.00,0.00,0.00,0.00
Sky38,1,96.97,2506.70,96.97,2506.70,0.00,0.00,0.00,0.00
Sky39,1,4055.27,4036.97,4055.27,4036.97,0.00,0.00,0.00,0.00
Sky40,1,1375.15,451.95,1375.15,451.95,0.00,0.00,0.00,0.00
Sky41,1,1446.47,923.23,1446.47,923.23,0.00,0.00,0.00,0.00
Sky42,1,2276.07,3782.16,2276.07,3782.16,0.00,0.00,0.00,0.00
Sky43,1,1380.99,1823.89,1380.99,1823.89,0.00,0.00,0.00,0.00
Sky44,1,3562.40,2992.25,3562.40,2992.25,0.00,0.00,0.00,0.00
Sky45,1,730.51,3579.06,730.51,3579.06,0.00,0.00,0.00,0.00
Sky46,1,3213.63,1925.18,3213.63,1925.18,0.00,0.00,0.00,0.00
Sky47,1,3291.09,2155.31,3291.09,2155.31,0.00,0.00,0.00,0.00
Sky48,1,2088.12,2931.84,2088.12,2931.84,0.00,0.00,0.00,0.00
Sky49,1,2040.60,3795.89,2040.60,3795.89,0.00,0.00,0.00,0.00
Sky50,1,2338.84,1039.43,2338.84,1039.43,0.00,0.00,0.00,0.00
Sky51,1,545.50,969.24,545.50,969.24,0.00,0.00,0.00,0.00
